nama_produk,harga,nama_toko,kota,terjual,rating
KRUPUK SEBLAK RAFAEL | SEBRING | KERUPUK MAWAR PEDAS DAUN JERUK 250 GR,21630,Toko kue Sumber Mas,Jakarta Timur,40,5.0
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,17000,Central Seblak Nusantara,Tangerang Selatan,2000,4.9
"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,500,5.0
Seblak Rafael/Seblak Coet Instan Halal,26600,Foodstocks,Jakarta Selatan,500,4.9
Seblak instan komplit / seblak instan murah,5000,ismileusa_id,Kab. Bandung,100,4.7
Kylafood Seblak Rempah Authentik,8888,kylafood,Bandung,2000,4.9
SEBLAK INSTANT TERMURAH,4450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10000,4.8
Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,4000,4.9
Kerupuk Mentah 250gr Seblak Mentah,5900,Pedas Gilaa,Surabaya,1000,5.0
Seblak Instant Homemade Lengkap Bumbu,5500,Pedas Gilaa,Surabaya,3000,4.8
"KERUPUK SEBLAK MENTAH ANEKA WARNA - Matahari, 500 gram",11500,jajanangarut19,Jakarta Selatan,500,4.8
Paket Isi 4 Batagor Instan | Makaroni Basah | Seblak Basah,64906,Lakoca Official Shop,Cimahi,30,4.9
Kerupuk Seblak RAFAEL / Krupuk Seblak Pedas Bantet - Molagi Snack - 250 Gram,16000,MOLAGI SNACK,Tangerang Selatan,16,4.5
Paket Isi 6 Cuanki Instan Lakoca | Batagor Instan | Seblak Basah GFS,93840,Lakoca Official Shop,Cimahi,100,4.8
Kerupuk Seblak Rafael Viral,12000,Golden Cakery,Jakarta Pusat,70,4.9
BASO ACI HOMEMADE boci isi12 bakso aci termurah baso aci fresh seblak,5400,NomeL Shop,Surabaya,3000,4.6
"makaroni kriuk 500g pedas extra daun jeruk,cemilan nikmat,seblak,makan",25000,anugrah seblak,Kab. Bandung,250,4.8
Seblak Instan Komplit Pedas Gurih Nikmat,5999,Baso Aci Ayang,Kab. Garut,3000,4.9
Cuanki Lidah Topping Baso Aci Seblak Isi 50 Biji,13000,Pedas Gilaa,Surabaya,100,4.9
Mamafuji - PROMO BUNDLING !!! SEBLAK & BAKSO ACI,41999,Mama Fuji Official,Tangerang,100,4.7
Kylafood Seblak Original,21375,kylafood,Bandung,10000,4.9
BASRENG 1 KG SEBLAK DAUN JERUK PURUT SUPER PEDAS ORIGINAL SUPER RENYAH,51771,Grosir Besar Kalimantan,Banjarbaru,50,5.0
Kylafood Seblak Rempah Autentik isi (5pcs),61275,kylafood,Bandung,250,4.8
seblak mercon pedas galak,3500,BUGAR STORE.,Kab. Garut,3000,4.5
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,25000,Lidigeli,Kab. Garut,100,4.9
kerupuk ikan mentah putih seblak gurih renyah garing 1000gr - S,27075,Radja Herbal Indonesia,Kab. Bekasi,19,5.0
[PUTRI] Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,17000,Central Seblak Nusantara,Tangerang Selatan,1000,5.0
Kylafood Seblak Rempah Autentik,13000,Kylafood Jakarta,Jakarta Selatan,250,5.0
SEBLAK KERING 100gr DUA VARIAN RASA,4500,jajanangarut19,Jakarta Selatan,250,4.7
Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet,7138,Berkah Food Bandung,Cimahi,7000,4.9
Kylafood Seblak Cup,12510,kylafood,Bandung,500,4.9
Kylafood Seblak Original Play,14875,kylafood,Bandung,1000,4.9
12 Bungkus Mix Baso Aci isi 6 pcs X Seblak Instan isi 6 pcs,38777,Semangkok Boci,Kab. Klaten,60,4.8
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral ORIGINAL TATANGGA,44500,Beauty DELUXE,Jakarta Barat,60,4.9
Seblak Cobek Pedas Coet Viral ala Rafael Bumbu Khas Rempah,7950,AMANA SNACK,Tangerang Selatan,26,5.0
SEBLAK KERING CIKRUH BUMBU KACANG VARIAN CAMPUR,10799,Simshop_,Cimahi,60,4.7
"seblak krupuk 5000 ,pedas dan gurih",5000,anugrah seblak,Kab. Bandung,1000,4.7
KERUPUK MENTAH SERBA 5000 BAHAN SEBLAK,6000,GK_Snack,Kab. Bandung,1000,4.9
Kerupuk Seblak Beton As Kering Cikruh 500 Gr Bumbu Organik Pedas Gurih,27500,kerudung bunga,Cimahi,40,5.0
Kerupuk Seblak Pedas Krupuk Pelangi Pedas Seblak 200gram,15000,toko bemo,Jakarta Timur,500,4.9
Seblak Sultan instant,14000,Sultan Meat Shop,Medan,250,4.8
Kylafood Paket Seblak Cup isi 4 pcs,50040,kylafood,Bandung,80,5.0
Kerupuk Seblak Rafael / Seblak Pedas 250 Gram - Tam Snack,16000,TAM SNACK,Depok,60,5.0
Kylafood Seblak Cup,13500,Kylafood Jakarta,Jakarta Selatan,250,4.9
