nama_produk,harga,nama_toko,kota,terjual,rating
KRUPUK SEBLAK RAFAEL | SEBRING | KERUPUK MAWAR PEDAS DAUN JERUK 250 GR,Rp21.630,Toko kue Sumber Mas,Jakarta Timur,40+ terjual,5.0
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,2rb+ terjual,4.9
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,500+ terjual,5.0
Seblak Rafael/Seblak Coet Instan Halal,Rp26.600Rp28.000,Foodstocks,Jakarta Selatan,500+ terjual,4.9
Seblak instan komplit / seblak instan murah,Rp5.000Rp10.000,ismileusa_id,Kab. Bandung,100+ terjual,4.7
Kylafood Seblak Rempah Authentik,Rp8.888Rp12.900,kylafood,Bandung,2rb+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,4rb+ terjual,4.9
Kerupuk Mentah 250gr Seblak Mentah,Rp5.900,Pedas Gilaa,Surabaya,1rb+ terjual,5.0
Seblak Instant Homemade Lengkap Bumbu,Rp5.500,Pedas Gilaa,Surabaya,3rb+ terjual,4.8
"KERUPUK SEBLAK MENTAH ANEKA WARNA - Matahari, 500 gram",Rp11.500,jajanangarut19,Jakarta Selatan,500+ terjual,4.8
Paket Isi 4 Batagor Instan | Makaroni Basah | Seblak Basah,Rp64.906,Lakoca Official Shop,Cimahi,30+ terjual,4.9
Kerupuk Seblak RAFAEL / Krupuk Seblak Pedas Bantet - Molagi Snack - 250 Gram,Rp16.000,MOLAGI SNACK,Tangerang Selatan,16 terjual,4.5
Paket Isi 6 Cuanki Instan Lakoca | Batagor Instan | Seblak Basah GFS,Rp93.840,Lakoca Official Shop,Cimahi,100+ terjual,4.8
Kerupuk Seblak Rafael Viral,Rp12.000,Golden Cakery,Jakarta Pusat,70+ terjual,4.9
BASO ACI HOMEMADE boci isi12 bakso aci termurah baso aci fresh seblak,Rp5.400,NomeL Shop,Surabaya,3rb+ terjual,4.6
"makaroni kriuk 500g pedas extra daun jeruk,cemilan nikmat,seblak,makan",Rp25.000,anugrah seblak,Kab. Bandung,250+ terjual,4.8
Seblak Instan Komplit Pedas Gurih Nikmat,Rp5.999,Baso Aci Ayang,Kab. Garut,3rb+ terjual,4.9
Seblak Rafael/Seblak Coet Instan Halal,Rp26.600Rp28.000,Foodstocks,Jakarta Selatan,500+ terjual,4.9
Cuanki Lidah Topping Baso Aci Seblak Isi 50 Biji,Rp13.000,Pedas Gilaa,Surabaya,100+ terjual,4.9
Mamafuji - PROMO BUNDLING !!! SEBLAK & BAKSO ACI,Rp41.999,Mama Fuji Official,Tangerang,100+ terjual,4.7
Kylafood Seblak Original,Rp21.375Rp22.500,kylafood,Bandung,10rb+ terjual,4.9
BASRENG 1 KG SEBLAK DAUN JERUK PURUT SUPER PEDAS ORIGINAL SUPER RENYAH,Rp51.771,Grosir Besar Kalimantan,Banjarbaru,50+ terjual,5.0
